run_id,nodes_expanded,planning_time,raw_waypoints,raw_path_length,smooth_waypoints,smooth_path_length,improvement_percent,ee_travel_distance,max_joint_jump
1,0,1.1973206996917725,113,5.586098040519617,6,3.274023802760491,41.38978981371507,1.0500964554172834,1.417253825368227
2,0,1.0698258876800537,116,5.7460030072312955,4,3.589467372870998,37.53105648650576,1.357674771417631,1.6930825703019883
3,0,1.8197131156921387,117,5.797797100258174,5,3.309868475093582,42.91161939857822,1.2743125490889329,1.182178662397312
4,0,1.2177526950836182,85,4.191259644310446,5,2.806156916780332,33.04740925345353,1.005774029135401,1.2597211320497494
5,0,1.5855798721313477,106,5.248324356787341,6,2.922185132511304,44.32155991402821,1.0477375203258676,0.8786212036134493
6,0,1.5847456455230713,121,5.9968883649523965,5,3.3330578990870126,44.42021101199087,1.2002936259607675,1.4691650873586246
7,0,1.5259852409362793,102,5.0448210854759346,6,3.064260766549751,39.25927769030753,1.0425914544578545,1.3086561268047388
8,0,1.3116803169250488,109,5.382424576628337,5,3.2530581556725036,39.56147254161271,1.3241900587131108,1.0308653181611667
9,0,1.3417048454284668,113,5.596007381807381,6,3.5482974442189628,36.592338034533746,1.3368888398443264,1.4349878785262544
10,0,1.2524938583374023,110,5.4499200116790725,5,3.3661606646056894,38.23467762110136,1.27556338611815,1.3163030240645233
11,0,1.742966890335083,93,4.597607253411571,9,2.7560710912479274,40.05422952987481,1.031263245822176,0.7729323639391846
12,0,1.1311070919036865,110,5.442248254907061,5,3.0578706344616706,43.81236409595044,1.112609575253112,1.368717078370094
13,0,2.137322425842285,109,5.3956010411453335,5,3.063493326080823,43.22238981867847,1.0741885975460392,1.6039812948871388
14,0,0.8315582275390625,88,4.343639214488341,5,2.7661073343082467,36.31820697534429,1.0499486938012246,1.198848056750505
15,0,1.5307602882385254,124,6.13760085863495,5,3.714030418655363,39.48726050782337,1.4372247146707935,1.4922739862255778
16,0,1.3448376655578613,86,4.237542190023665,6,2.740635766395256,35.32487362963693,0.9601155621061467,1.104711805681326
17,0,1.5823469161987305,121,5.985403722556379,4,3.787853876807355,36.7151481773471,1.6226168814624438,1.5108802085876079
18,0,0.9071907997131348,93,4.592235859814421,5,2.7281302802636986,40.59254873781796,1.0854282951803622,1.2169948452067638
19,0,1.2486443519592285,119,5.891586155376343,5,3.541852279959422,39.882873872135114,1.2763811823920528,1.2723520239581951
20,0,0.9419026374816895,97,4.7893124339337225,6,2.896472634203113,39.52216160130354,1.145278415815391,1.2193773636161591
AVG,0.0,1.3652719736099244,106.6,5.272616027697089,5.4,3.175952713626675,39.610073435586955,1.1855088927264534,1.2875951927934293
